aX,aY,aZ,gX,gY,gZ
-0.790,-1.502,-1.426,865.723,-19.226,-212.830
-0.525,-2.125,-0.948,916.748,-82.336,-253.845
0.165,-2.686,0.247,866.943,-158.875,-263.550
0.175,-2.591,1.745,694.641,-286.560,-219.238
0.116,-2.214,3.155,494.690,-385.803,-128.052
0.004,-1.845,3.329,365.845,-297.302,-32.288
0.004,-1.793,2.548,263.489,-99.243,4.883
0.175,-1.919,1.271,194.885,28.687,19.653
0.035,-1.758,0.179,128.967,32.959,40.161
-0.123,-1.563,-0.098,84.778,-35.278,31.494
-0.026,-1.532,0.230,76.782,-86.121,-6.409
0.173,-1.599,0.763,74.463,-98.145,-33.142
0.251,-1.579,1.235,54.321,-92.285,-24.902
0.185,-1.481,1.393,15.503,-65.918,2.808
0.072,-1.362,1.277,-27.771,-30.396,31.250
-0.060,-1.226,1.094,-68.237,-7.812,50.781
-0.155,-1.091,0.979,-103.821,-2.625,58.594
-0.202,-0.993,0.920,-132.812,-4.333,53.528
-0.177,-0.943,0.943,-158.936,-7.629,40.527
-0.186,-0.951,0.970,-187.500,-11.108,27.771
-0.190,-0.947,0.910,-213.867,-8.179,17.517
-0.151,-0.943,0.808,-231.201,2.747,9.644
-0.088,-0.953,0.774,-242.615,15.625,5.493
-0.080,-0.935,0.851,-251.282,26.306,7.874
-0.098,-0.882,0.901,-259.277,38.696,14.709
-0.096,-0.835,0.972,-274.353,54.810,20.752
-0.164,-0.835,1.004,-299.255,70.801,22.949
-0.248,-0.770,0.901,-319.824,86.121,18.433
-0.265,-0.711,0.751,-333.801,95.276,7.996
-0.258,-0.715,0.611,-344.543,90.271,-1.831
-0.243,-0.667,0.437,-342.651,72.876,-5.798
-0.174,-0.510,0.296,-321.289,47.852,-8.240
-0.068,-0.458,0.333,-290.100,22.522,-15.076
0.003,-0.424,0.519,-258.850,5.005,-14.954
-0.019,-0.381,0.669,-228.882,7.080,-11.841
-0.010,-0.345,0.747,-204.468,29.907,-8.667
0.008,-0.320,0.741,-190.430,55.603,-6.042
0.033,-0.301,0.686,-183.899,72.205,-3.784
0.071,-0.272,0.641,-181.152,74.341,-1.465
0.055,-0.281,0.592,-179.932,64.880,0.183
0.063,-0.214,0.510,-170.349,49.194,1.404
0.069,-0.129,0.489,-147.339,31.433,-1.465
0.075,-0.062,0.528,-118.469,17.456,-5.493
0.079,-0.037,0.640,-87.891,11.292,-9.216
0.075,-0.042,0.749,-63.416,14.832,-11.230
0.094,-0.041,0.800,-44.983,25.879,-11.353
0.123,-0.039,0.805,-30.396,39.124,-10.193
0.146,-0.058,0.807,-18.860,48.889,-7.507
0.176,-0.089,0.843,-11.414,51.086,-3.662
0.184,-0.109,0.920,-9.583,46.631,2.869
0.168,-0.106,0.987,-14.648,39.856,11.292
0.141,-0.078,1.008,-24.231,32.227,16.296
0.119,-0.055,1.001,-33.081,25.513,16.479
0.098,-0.033,0.963,-37.292,19.348,14.343
0.096,0.004,0.914,-34.363,13.916,11.414
0.078,0.034,0.894,-25.146,9.521,6.897
0.076,0.065,0.904,-12.817,6.958,0.854
0.091,0.058,0.928,-1.099,8.484,-4.944
0.110,0.032,0.943,8.972,14.221,-8.972
0.147,-0.002,0.970,16.418,21.179,-9.827
0.160,-0.026,0.988,19.714,27.954,-6.958
0.169,-0.041,0.990,19.226,33.569,-3.235
0.174,-0.040,0.972,12.390,31.372,-0.183
0.178,-0.036,0.948,-0.488,18.005,0.671
0.181,-0.036,0.946,-13.489,-1.343,-0.488
0.179,-0.037,0.947,-22.888,-17.395,-1.709
0.168,-0.015,0.941,-27.161,-26.794,-1.953
0.149,0.008,0.944,-24.536,-29.236,-2.625
0.141,0.025,0.950,-17.212,-25.452,-4.089
0.139,0.030,0.960,-7.324,-16.663,-5.066
0.139,0.036,0.972,2.930,-5.432,-4.883
0.137,0.040,0.967,12.024,6.409,-3.540
0.143,0.042,0.967,18.250,14.832,-2.319
0.159,0.016,0.970,21.301,18.127,-2.319
0.176,-0.001,0.974,18.311,15.625,-2.075
0.178,-0.009,0.985,10.498,6.958,-1.648
0.182,-0.012,0.995,0.732,-3.723,-2.136
0.180,-0.018,1.006,-6.897,-11.597,-2.319
0.171,-0.013,1.021,-11.414,-14.709,-1.404
0.149,-0.009,1.020,-13.367,-13.245,0.122
0.141,0.014,0.998,-11.841,-8.850,0.610
0.136,0.027,0.973,-6.897,-3.418,-0.061
0.140,0.032,0.965,0.366,2.563,-1.404
0.149,0.025,0.968,7.446,8.179,-2.380
0.159,0.013,0.972,11.414,12.878,-2.563
0.170,-0.001,0.979,13.245,15.503,-2.441
0.174,-0.010,0.984,12.146,16.479,-1.465
0.175,-0.010,0.982,9.155,15.320,-0.549
0.171,-0.011,0.978,4.761,11.230,-0.244
0.166,-0.007,0.976,0.916,6.348,-0.244
0.159,-0.001,0.973,-1.770,2.441,-0.366
0.158,-0.000,0.967,-2.441,1.282,-0.366
0.159,0.006,0.960,-1.282,1.709,0.000
0.158,0.005,0.959,0.061,2.625,0.244
0.158,0.004,0.962,0.671,3.723,0.610
0.152,0.008,0.959,0.977,4.211,0.732
0.153,0.014,0.955,1.160,4.456,0.366
0.155,0.009,0.952,1.953,4.395,-0.671
0.160,0.003,0.959,2.747,3.540,-1.038
0.161,-0.000,0.972,3.174,2.258,-1.160
0.163,-0.004,0.974,2.014,1.343,-1.343
0.165,-0.004,0.966,0.549,0.000,-1.343
0.165,0.004,0.954,0.549,-0.427,-1.282
0.164,0.004,0.954,2.075,-0.244,-1.282
0.166,0.005,0.960,4.150,0.549,-1.465
0.165,0.001,0.959,5.127,2.258,-1.221
0.162,0.005,0.960,5.615,3.845,-0.549
0.160,0.006,0.964,5.859,4.395,-0.061
0.150,0.006,0.971,5.432,4.395,0.183
0.145,0.007,0.974,4.761,3.967,-0.122
0.148,0.000,0.969,4.028,2.502,-1.160
0.155,-0.007,0.971,3.662,0.793,-1.892
0.160,-0.005,0.971,4.028,-0.366,-1.953
0.168,-0.010,0.965,4.639,-0.183,-2.258
0.182,-0.019,0.962,4.944,0.122,-2.319
0.182,-0.022,0.958,5.188,0.061,-1.099
0.177,-0.014,0.959,5.920,-0.244,-0.061
0.171,-0.012,0.967,6.348,0.061,0.061
0.169,-0.015,0.975,6.531,1.038,-0.488

0.326,-1.741,-0.513,791.199,-14.832,-123.718
0.285,-1.944,0.087,746.094,-75.745,-108.887
0.296,-2.007,0.691,666.443,-116.821,-75.928
0.348,-1.922,1.180,578.979,-130.249,-38.330
0.248,-1.911,1.564,485.229,-123.291,-8.850
0.102,-1.668,1.727,388.428,-96.313,14.893
-0.081,-1.453,1.582,286.621,-69.458,13.733
-0.271,-1.312,1.263,180.542,-60.059,-11.841
-0.344,-1.224,0.913,91.919,-65.735,-53.833
-0.330,-1.252,0.650,27.649,-78.430,-101.563
-0.203,-1.310,0.499,-10.193,-90.820,-143.188
-0.059,-1.428,0.481,-27.283,-94.604,-167.358
0.113,-1.515,0.552,-31.128,-87.708,-165.222
0.245,-1.542,0.627,-30.701,-73.792,-138.733
0.245,-1.512,0.612,-24.963,-50.354,-100.403
0.206,-1.410,0.508,-16.663,-21.179,-57.922
0.134,-1.281,0.343,-9.460,2.380,-22.888
0.061,-1.139,0.185,-4.883,17.578,-4.395
0.027,-1.032,0.090,-5.798,19.348,-1.587
0.013,-0.969,0.077,-13.367,9.888,-9.827
0.016,-0.933,0.113,-23.865,-3.540,-25.208
0.047,-0.920,0.167,-35.522,-14.038,-41.260
0.069,-0.935,0.212,-46.204,-21.423,-54.077
0.079,-0.954,0.227,-53.772,-24.109,-60.547
0.087,-0.967,0.218,-57.251,-23.071,-60.974
0.088,-0.993,0.218,-57.922,-20.813,-57.068
0.107,-1.021,0.256,-58.777,-19.958,-49.133
0.112,-1.044,0.330,-62.927,-21.851,-37.231
0.087,-1.059,0.402,-69.458,-22.400,-22.339
0.055,-1.062,0.445,-75.378,-15.381,-8.423
0.013,-1.070,0.448,-79.712,-4.211,2.441
-0.015,-1.051,0.418,-83.740,6.409,10.437
-0.032,-1.038,0.398,-88.379,13.550,14.771
-0.023,-1.038,0.391,-94.360,16.724,16.052
0.016,-1.050,0.422,-102.356,15.198,15.686
0.049,-1.057,0.490,-115.967,9.521,16.235
0.073,-1.069,0.580,-133.118,4.028,19.409
0.067,-1.078,0.644,-152.649,4.517,24.597
0.062,-1.073,0.655,-170.593,13.367,31.860
0.066,-1.060,0.630,-185.364,26.062,38.391
0.071,-1.052,0.595,-199.097,39.001,44.006
0.092,-1.055,0.582,-209.534,48.950,49.255
0.112,-1.045,0.608,-217.529,54.016,54.016
0.085,-1.014,0.641,-222.595,56.641,60.669
0.047,-0.967,0.643,-222.839,61.768,67.139
