aX,aY,aZ,gX,gY,gZ
0.539,0.792,1.814,60.120,-24.231,10.559
0.500,0.856,1.972,62.012,-33.752,9.094
0.343,0.987,2.071,59.753,-44.861,11.047
0.083,1.139,2.048,49.988,-47.546,22.217
-0.223,1.308,1.959,42.236,-38.391,34.912
-0.498,1.427,1.820,42.358,-20.691,45.532
-0.723,1.443,1.653,50.171,2.014,51.086
-0.867,1.294,1.482,62.866,24.414,48.340
-0.922,1.017,1.290,71.716,38.330,31.555
-0.954,0.643,1.038,68.787,39.307,2.502
-0.956,0.135,0.700,48.706,20.630,-34.424
-0.858,-0.449,0.305,27.588,-13.672,-89.355
-0.605,-1.199,-0.038,22.827,-53.162,-145.691
-0.333,-1.917,-0.225,35.889,-87.341,-177.429
-0.158,-2.297,-0.227,63.171,-93.750,-174.255
-0.096,-2.445,-0.154,91.187,-53.955,-143.738
0.034,-2.547,-0.098,111.816,12.756,-111.816
0.216,-2.667,-0.076,113.525,53.406,-98.511
0.429,-2.774,-0.027,95.215,38.147,-106.384
0.733,-2.906,0.121,76.599,-2.808,-120.972
1.009,-2.954,0.279,61.157,-19.531,-113.770
1.115,-2.734,0.328,43.457,5.798,-70.496
0.960,-2.267,0.189,20.508,51.453,-9.583
0.601,-1.697,-0.016,-0.244,76.050,38.635
0.221,-1.191,-0.120,-11.108,59.143,56.885
-0.075,-0.845,-0.074,-15.991,15.503,48.645
-0.279,-0.630,0.049,-16.235,-19.470,33.875
-0.417,-0.514,0.173,-11.414,-27.039,28.381
-0.520,-0.437,0.252,-4.456,-14.038,31.372
-0.558,-0.424,0.302,3.540,1.404,31.494
-0.510,-0.481,0.349,8.972,6.592,24.414
-0.411,-0.573,0.396,9.644,-1.770,11.414
-0.291,-0.687,0.463,9.338,-13.062,-1.648
-0.185,-0.809,0.544,9.521,-19.836,-7.263
-0.116,-0.903,0.633,9.583,-20.569,-6.531
-0.076,-0.978,0.728,9.583,-17.822,-2.869
-0.072,-1.010,0.805,7.202,-16.113,1.282
-0.066,-1.021,0.827,2.380,-14.709,3.967
-0.019,-1.020,0.834,-0.671,-10.193,5.676
0.024,-0.997,0.860,-2.625,-4.822,9.827
0.044,-0.944,0.861,-7.263,0.488,15.381
0.042,-0.884,0.846,-11.841,5.005,18.311
0.027,-0.838,0.836,-14.954,5.371,18.982
0.006,-0.780,0.851,-17.456,0.366,15.686
-0.023,-0.689,0.897,-19.958,-6.775,10.376
-0.071,-0.650,0.935,-24.597,-12.817,8.545
-0.125,-0.605,0.976,-28.137,-13.367,10.071
-0.146,-0.530,0.995,-30.029,-6.470,11.108
-0.129,-0.502,0.984,-31.189,3.967,11.108
-0.104,-0.522,0.969,-29.968,13.245,11.597
-0.083,-0.550,0.962,-26.733,19.348,11.719
0.018,-0.571,0.953,-23.560,22.034,9.094
0.065,-0.575,0.951,-24.353,20.813,5.737
0.094,-0.555,0.958,-25.269,16.968,6.104
0.088,-0.538,0.974,-26.489,13.489,8.057
0.054,-0.534,0.985,-27.466,13.733,11.292
0.027,-0.543,0.985,-27.649,18.738,15.015
0.031,-0.542,0.972,-28.015,25.085,17.212
